// Otomatik olusturulan dosya

RM_5f6223af-dcf8-4c0f-aa9f-c5a9150b28eb = "Üzgünüm Hanji, biraz fazla tembel davrandin..."
RM_f4a52d0b-a933-4ea9-aaae-b83f4955e936 = "VHS: Ölen Saldiri"
RM_05eb513a-91e1-4422-b223-6b64743f533c = "Ölme Grevi"
RM_7ef8a217-03b5-45ca-9d02-d2abac6d9753 = "Yeni bir aktör, ayni parlak ajan. Onu en iyi taniyan tek düsmanla, uzun süredir kayip olan ikiz kardesiyle yüzlestigi on yedinci görevinde Ajan John Spiral'e katilin! 1993. Dereceli PG Siddet için -13."
RM_c78aeb2c-10d3-41a0-9370-57f4c3c0d02e = "*alarm sesleri* *makineli tüfek atesi, patlamalar*"
RM_e76d8d39-24e2-4932-9396-b1dadecdadbf = "Ellerin havada disari çik John. Sen oldugunu biliyorum."
RM_1efcc4e1-e862-433e-a52c-8d122d5a32ab = "Hayir... hayir, olamaz..."
RM_f8ea3592-3541-478f-a804-618a292e2489 = "Uzun süredir kayip olan ikiz kardesinizin sesini tanimiyor musunuz?"
RM_623994c9-9d35-46b8-8b39-3b2545342cc4 = "Simdi iyi dinle Spiral. Patlayan bir ayakkabi. Bagciklarini böyle bagla ve firlat."
RM_b32ff765-d596-4c0e-90e3-366544bda5ea = "Kafama bir tekme degil mi..."
RM_eac71e48-9472-4f6d-8e42-96b2f9880a82 = "*silah sesleri* *tank arabalari eziyor*"
RM_27296566-9937-4c5b-abfb-2e02c002f774 = "Anilar için tanklar."
RM_bbc37534-403e-4526-b022-d2e5e23ec248 = "Bir bacagimi kaybetmis olabilirim ama yine de üstünlük bende. Bayan Tiffany Hollowbrain."
RM_71ec54e6-22c2-445d-8ef4-6aa58a282d15 = "Beni unut John! Uyduyu hacklemesine izin verme!"
RM_65f1eabb-8303-476e-9744-54fe8b0b455d = "Tamam, çikiyorum Max. Sen kazandin."
RM_c875c933-e946-4907-a27a-374db5ab241d = "Aynaya bakmak gibi, degil mi? Ben zavalli bir kaybeden görürken sadece sen bir kazanan görüyorsun."
RM_95e409b1-72e5-4e23-9ae8-321a5df85c07 = "Eger beni öldüreceksen, ayakkabilarimi çikarmak isterim."
RM_1bd29d32-8c4b-4f6a-a5e9-a1cd6e4238ae = "Evet, tamam. Ayaklariniz rahat ölebilirsiniz. Sonuçta biz kardesiz."
RM_c5adac15-979e-4f33-8022-6849ad2263c2 = "*patlama, alarmlar çaliyor*"
RM_a300d08f-978b-4931-a7bf-b1f45fe3915b = "Ne oluyor... yakala onu!"
RM_1a8a40b1-90af-4b45-932e-e6ba4e1c6c9e = "Demek simdi beni yakaladin John. Tebrikler. Ama hepsi senin suçun."
RM_e6c63e00-3c19-4206-a696-f288c62b1869 = "Sen agabeysin. Dört dakika sonra."
RM_af4e6993-3b81-4a9b-8903-75f1814ee084 = "Ben de macera istiyordum. Aletler istiyordum. Aptal isimleri olan kizlar istiyordum!"
RM_c74727c9-9056-4947-9c03-0b101b093889 = "Max'i geçti."
RM_28ac21b8-b56f-4ae6-9178-cf98211b97da = "*bomba sesi*"
RM_cd3f866b-fc54-4087-8742-4810bca0a195 = "Ah, simdi John!"
RM_498ed947-65b9-4eb5-b0e6-0d1b1dc888aa = "<kötü kahkaha>"
RM_fe939e58-ff08-4d6a-8372-d7e463625e22 = "VHS: Evlilik Ruhsati"
RM_8da8384a-28d2-4abd-a24b-b2085d1a3c8a = "Evlilik Ruhsati"
RM_b08ee9aa-f8fa-454f-8dcf-f7e311162150 = "Josh, kizinin dügününde eski karisiyla yeniden bir araya gelmis halde bulur. Bu neseli komedide eski kivilcimlar tutusup gelini gölgede birakmakla tehdit eder! 1984. PG dereceli."
RM_c8600378-05f0-4b6e-9596-93f3324c4da8 = "Keith ve Laura'nin neden evli olmayabilecegini bilen biri varsa..."
RM_de0a0c86-a8b2-4ea6-867b-9130372dcdab = "...simdi konusun veya sonsuza dek susmayin."
RM_9ccdbcdd-7fda-49b0-9a50-cc050c7310ce = "Frank'in itirazi yok."
RM_1d5b9241-f729-43d1-a87b-b17f95e7fdfd = "Itirazim yok deme!"
RM_2affc121-49e2-4cef-b3ec-093d8e8e5679 = "Itiraziniz oldugunu biliyordum!"
RM_a1724a4b-e3b2-41b5-8b59-d19c3ee7f8f8 = "Itirazim yok! Sadece itirazim yok demenizi istemiyorum."
RM_094b91b3-78ea-43c0-8b0c-f859675febe3 = "Üzgünüm Rahip. Annem ve babam. Bosandilar."
RM_a709cf7e-c859-43cc-be67-5d121d02610a = "Hey Frank. Güzel konusma. Bahsetmemis olmana sasirdim..."
RM_83a8569e-7b98-4244-8e98-db97bb2e58dd = "... flört ettigin o nedime yaptigin gibi yeni Cossette'in."
RM_0d342270-973c-4bd3-b1ef-513ed19b2ee0 = "Sen her zaman merakliydin. Kiraz. En azindan estetik ameliyattan önce."
RM_1ee3b082-4221-4023-a048-db4dadc1a936 = "Umarim çorbani biraz sert seversin, Frank... <kötü kikirdama>"
RM_bffbd7b8-bead-40b5-b960-dfd66e59891f = "Büyükanne break dans yapiyor! Biri çorbasina votka koymus!"
RM_b27668c9-3406-4583-907a-022cee9daed6 = "Ah hayir..."
RM_e4e65c8d-1627-4bbc-9d8c-7ee6acd80817 = "Anne, yapmadin!"
RM_ee64c2d1-b1e1-4b42-8211-1ecf25f94a89 = "Babanin çorbasi sandim!"
RM_ee41b06f-54c0-4af0-9933-e533bb884fb7 = "Iste bu kadar! Siz ikiniz farkliliklarinizi halledin, yoksa sizi bir daha asla görmek istemem!"
RM_4bc543f4-0e82-4b0a-9313-c502c55d81a1 = "Iyi günler geçirdik, degil mi Frank? Neden yine ayrildik?"
RM_062a8d2c-6f78-4a92-b85f-6de6b3dd2e82 = "Birbirimizi görmeye dayanamadik."
RM_c63d0a32-0148-4bdf-993c-b080a3e07a20 = "Tekrar deneyelim mi?"
RM_4706b791-df0e-48e3-ab12-037ac33d4204 = "Laura için mi?"
RM_d770f6a8-b2f8-4eff-ad24-189b5a1d5eaa = "Bizim için."
RM_f48e1489-e08f-401f-8fef-e055c607e7ae = "VHS: Tilkilerin Aglamasi"
RM_c75c5b6d-a520-4747-b167-d6e9a5853ba2 = "Tilkilerin Aglamasi"
RM_3e43c429-11c8-4d7d-94e4-64e6ce92809a = "Kaçak bir seri katil. Çaylak bir FBI ajani. Ve yardim için basvurmasi gereken tutuklu yamyam. Ödüllü Harley Darren, Caroline Unwin ile birlikte Özel Ajan Kerry Jones rolünde korkutucu Elizabeth Popper nami diger "The Eyepopper" olarak. 1989. Siddet, korku temalari için R olarak derecelendirildi."
RM_f970512b-ba81-4268-8e09-65693bebe552 = "On dört kurban. Hepsi kiliselerde gözleri oyulmus olarak bulundu."
RM_cd7d32f6-ae38-4a3e-836f-1229e3a0395f = "Elizabeth Popper'in alamet-i farikasi... ömür boyu hapiste olmasi disinda."
RM_a9538806-4361-4f84-b4b5-567e5d949238 = "Bayan Popper, ben Özel Ajan Kerry Jones..."
RM_c4a7fd16-2f26-43eb-aebd-b96af3a56239 = "Bayan Popper, lütfen. Kendimi evli olarak düsünmek istiyorum..."
RM_11195821-8c0a-440f-acd8-6b29d002def8 = "...bir kutu fasulye ve güzel bir birayla kocamin gözlerini yememe ragmen."
RM_7d159fcf-f034-42c4-be55-dfb200c53ac2 = "Bayan Popper. Neden burada oldugumu biliyorsunuz. Bir dizi..."
RM_47c2c64d-6672-49f2-8320-b0f22aaed8e9 = "Kiraz, biraz limon aromali."
RM_70ece78b-63e6-4125-bdef-bbbf2dba05a4 = "Özür dilerim?"
RM_42305b43-dc1a-4ba5-9890-c8a806d39d97 = "Az önce içtiginiz gazoz. Yüzeyde tatli, altta aci."
RM_ed0f0faf-93c3-4160-b973-37e819420603 = "Bayan Popper, bulmak için yardiminiza ihtiyacimiz var..."
RM_536d4dcc-4fd9-4222-ad20-64e205d26a7b = "Bu katilin benim ögrencilerimden biri oldugunu düsünüyorsunuz. Ögrencilerim asla bu kadar özensiz olmaz."
RM_3b07b3c0-b198-40ec-b472-194b4e258d55 = "Özensiz mi? Tüm suç mahalli tamamen..."
RM_9d9fc4ba-58a9-4cca-aedd-83d7ef9400fa = "Sanattan bahsediyorum. Gösteris. Ve bu katil... vasatin altinda."
RM_af96ad90-2383-4292-8c70-be6cafbbe552 = "Seni tam da istedigi yerde tutuyor. O senin kafanin içinde."
RM_b4f5dc53-284d-490a-942e-7fcf6bdccbd4 = "Bu dogru degil. Katili neredeyse yakaladik."
RM_018831a9-f2ec-4c2b-942c-99e5cf2c2c6c = "*alarm sesi* <çigliklar>"
RM_5ecb4878-8c58-48c2-9793-45231e055ff5 = "Göz patlatmada... sanat var."
RM_1e91e511-67d6-4dc9-82e3-aeb422693bd8 = "Ajan Jones. Katili yakaladiginiz için madalya aldiginizi duydum."
RM_f5bc43dd-0f2d-4ded-94dc-f6e578eab171 = "Tilkilerin aglamasiyla ilgili hikayenizi sik sik düsünüyorum."
RM_0c399451-64bc-45d1-aefb-07e57211392c = "Umarim simdi iyi uyuyorlardir."
RM_3c79347c-7001-411a-94ae-9713a8313433 = "*telefon bip sesi*"
RM_68708156-443b-4a18-b825-0b6a1492bb99 = "VHS: Cosa Nostra"
RM_597f9b25-6664-454c-ac96-280f3b1aea6d = "Cosa Nostra"
RM_0017aa5b-fb16-47fb-a7ef-de5dc4e8c1c1 = "Jackie Milano her zaman bir gangster olmak istemistir ve simdi onun hayali gerçek olmustur. Ancak patronlari Paulie Ponzini'nin emriyle kardesi Joe ile yaptigi bir soygun ters gider ve Jackie kendini kesin bir seçim yapmak zorunda bulur: Mafyadaki konumu ya da öz kardesi. 1989. Derece R."
RM_05663413-2862-46e4-b880-0e597460fd28 = "Küçüklügümden beri erkek olmak istedim."
RM_f373a3ca-bdc0-4bd1-97f9-2272a2897256 = "Ben ve kardesim Joe küçük basladik, Paulie Ponzini için kara para kazandik."
RM_baddcfe8-b854-40a7-a1d6-05778e66d16f = "Simdi de New York borsasini soyacagiz."
RM_b715a157-fe26-4f9a-a7e2-e7578c1d1bb9 = "Herkes yere yatsin! Bu bir soygun! Biz sadece stoklari istiyoruz!"
RM_a29638c9-23d5-4476-b28c-e2aa30d9d768 = "Gardiyan. Hey Jackie, bekçi!"
RM_310a6676-c577-4da7-b737-4dd044026482 = "Milano kardesler hisseleri aldi. A sinifi yatirimlar."
RM_e7ff3885-c9cd-49f4-8758-8cc71541713d = "Tek sorun, aptal kardes Joe, Jackie'nin adini söyledi."
RM_31c3df16-d481-4c9e-8c69-55cadc4c2c92 = "Bu bir pusu! Ponzini bize tuzak kurdu!"
RM_f212d902-37ea-4af9-99cc-249334de83d7 = "*silah sesi* *araba motoru sesi*"
RM_26dcd5db-b232-4250-ad01-312cfa88e4e0 = "Bu helikopter onlari bize çekecek! Helikopterlerden nefret ediyorum!"
RM_83a99baf-23ee-4609-b512-638be0319aa5 = "Jackie, bitti. Joe'yu teslim et ve gerçek bir adam ol... ya da onunla birlikte öl."
RM_078d644a-2657-43ee-b71a-f4507517d185 = "Beton ayakkabilar giymis bir adam olmaktansa, yasayan bir hiç kimse olmayi tercih ederim, Ponzini."
RM_405cde6a-d2e0-41b6-85e8-c70ef622d115 = "Isimler?"
RM_e4c90161-4e44-4dff-9627-50af582d328b = "Jackie Milano."
RM_e10b78c3-8664-4dde-9e3b-801b1d9aef99 = "Joe. Joe Milano."
RM_e16e2ff7-940e-4405-8fe6-e6e32f9c0d03 = "Tanik koruma programina hos geldiniz Jackie ve Joe."
RM_b759e0f6-e7a3-4529-a716-f616f4f68fc6 = "VHS: Yataginizdaki Tehlike"
RM_26d01a02-6ce2-488b-951c-1fa12468b4cc = "Yataginizdaki Tehlike"
RM_44b7231c-fe2b-4f37-8ce5-168bf1b18336 = "Julie Goodbar iyi bir es olmaya çalisiyor ama kocasi Liam'in umurunda degil. Kontrolcü, alçaltici ve siddet yanlisi Julie kendi ölü taklidi yapip kaçmaktan baska çikis yolu görmüyor. Ama kibirli Liam gerçeklerden süphelenir ve onun izini sürmeye ant içer... 1992. Derece R."
RM_5ced9a9d-0925-426b-9ffb-0605118762d4 = "Iste dört pankek tatlim. Istedigin gibi katlanmis."
RM_b847ca73-79f1-4dc6-ba6a-a987378793d0 = "Üç pankek istemistim. BEYNINIZ KIRIK MI?"
RM_30a53acd-0601-4cd5-9b05-84ec8b54d5df = "Yüzmeye gidiyorum Liam."
RM_9d0798ab-dc4c-43d8-8750-d7f0dd3a915d = "Bulasiklar bitti mi? Takim elbisem ütülendi ve hazir mi?"
RM_0c97f01c-e610-4c97-9c1f-1ab9b6431a73 = "Evet."
RM_1a9fb815-88ba-4768-b1bc-169f586e2254 = "O zaman gidebilirsiniz."
RM_890eac5d-9b1e-4f04-9920-2a29981e0fc0 = "Alo? Polis? Karim kayip. Az önce bir not buldum..."
RM_cd976a94-3307-470b-8d56-b2030ea735f6 = "Merhaba. Ben Jun Li. Kasabada yeni misiniz?"
RM_02c63fec-6f73-4767-86d9-9cf2f2dcc1fa = "Evet. Yeni tasindim. Adim... Lucy. Bir seyler içmek ister misiniz?"
RM_731e05f5-6fd6-46a3-9ce4-46aa69822881 = "Eger saklanmazsam kocam beni bulacak. Ve beni öldürecegini biliyorum Jun."
RM_5562cd7d-5397-4fe0-ba09-e69b0a019c38 = "Anliyorum. Buradayken güvende olacaksiniz. Söz veriyorum."
RM_b2e2b6b6-ea19-4968-91f5-83ddb5460ce2 = "Beni bunun için mi terk ettin, Julie? Bu üç haneli net degerde hiç kimse?"
RM_e6ca0454-901a-4502-8a9e-be83b935779e = "*yumruk* <bagirma>"
RM_75eb7d46-83ac-4ceb-a872-708d991259cf = "Simdi sizinle ilgilenme zamani..."
RM_7c6298a2-ca84-4c07-97c7-c3dc5881a45b = "*silah sesi* <inleme>"
RM_479834b9-0504-438f-b13f-e8ba3142d163 = "Sadece... krep istedim..."
RM_df1100bc-2384-4f4e-a0d8-6cbeabefdb13 = "Bitti... Sanki... hayatim yeniden basliyor gibi hissediyorum."
RM_d063f5f5-5f28-4096-980f-43b0143bb28c = "Büyük bir evimiz veya çok paramiz olmayacak ama sizi simdi ve her zaman sevecegim."
RM_2feed722-ac0c-450c-9eb4-a0f51b606082 = "VHS: Canim"
RM_9028903b-66b1-4667-a330-61bfbfdc6292 = "Ask Yüregi"
RM_9dd60939-056e-4ed0-9a1c-7c09d97cc08c = "Bir borç tahsildari - Mark Loveheart - büyüdügü küçük Irlanda kasabasina geri döner ve dövüs sanatlari becerilerini, bir müteahhit ve haydut çetesinin zehirli atik insa etmek için araziyi ele geçirmesini durdurmak için kullanir. dökümü. 1988. R"
RM_6d009155-bf2b-4726-9948-3251f2da6cc5 = "Bu delikanli caninizi mi sikiyor?"
RM_9817da91-965c-4753-8615-079ff3642dc9 = "Aslinda öyle."
RM_fa92ef87-17d3-46a8-8980-6b24723010d2 = "*delme*"
RM_efb41b59-288a-4271-88c0-6d2b43856efd = "Artik degil. Ben Mark Loveheart. Adiniz ne?"
RM_2a735f97-b8a1-412d-9364-818f611866b5 = "Charlene. Vardiyam bitti. Sonsuza dek. Beni birakir misin?"
RM_b30d1dc5-2e8e-44a3-b6c7-3c296afb204e = "Bu Loveheart rahatsiz edici bir hal almaya basladi. Bütün adamlarimizi dövdü."
RM_9109c670-ed17-48cd-8677-5e737ffc5802 = "Bu hizla gidersek, zehirli atik çöplügümüz asla futbol sahasinin üzerine insa edilmeyecektir."
RM_822fe2b9-91f4-4725-98ff-b3fbcff12188 = "Sen Loveheart'i bana birak. Onunla kisa sürede ilgilenecek bir adam taniyorum."
RM_fd2060bb-f074-498a-bbe0-4af1d59fc16f = "Böyle yasayamazsiniz. Para için kavga edip insanlari incitiyorsunuz."
RM_1734c695-18bd-4bb7-ab5f-4b6960f08007 = "BENI YARGILAYACAKSINIZ!"
RM_a03ab77a-4ddb-4ab0-ae3e-9e92e262a191 = "Seni küçük piç Loveheart. Yolumuza çikmayacaksin."
RM_b0812724-2f96-4248-a48d-1c32f3a38278 = "Silahi birakin. Erkek gibi savasacagiz."
RM_c99fe0d6-7f12-4ba2-9ec0-afc5d2423470 = "*yumruk, tekme*"
RM_eb16d649-ebd2-4933-b057-5c210760555e = "Iyi günler."
RM_068eb02a-1694-40a9-acc3-1cd6bcc2af35 = "Sana bagirdigim için özür dilerim Charlene."
RM_709d25f9-ce7c-467b-9c4b-32e76a0c9cf3 = "Gelistiricileri durdurup kasabayi kurtardiniz."
RM_25cffc23-d346-4ccc-9967-fef458b2b71b = "Bu yüzden seni affediyorum Canim."
RM_864f52d5-c503-42b8-b59b-5ac525c83979 = "Böylece kasabayi geride biraktik. Barda kartimi unuttum."
RM_44986942-3218-432f-96e4-4a39e9ffcfae = ""Yasa yeterince iyi olmadiginda. Kurallarin esnetilmesi gerektiginde."
RM_675f4a26-8aa7-4199-b1ab-d3368ab2a134 = "Gidecek kimse kalmadiginda. Loveheart'i arayin.""
RM_42a397cf-ee08-467a-b492-a11798781ead = "VHS: Squad Down"
RM_a4d20f57-81ce-4f3d-a8aa-8803a633c162 = "Takim Düstü"
RM_998297c3-e07d-4c23-9e69-6a20b03620e0 = "Gergin bir askeri hukuk gerilimi. Basarili genç Donanma avukati Buck Parlor, üç Deniz Piyadesinin ölümüne neden olan bir egitim tatbikatinin ardindaki gerçegi bulmalidir. 1992. Küfür ettigi için PG-13 olarak derecelendirildi."
RM_6e16e337-84d1-445e-bc73-e426349bc729 = "Patlamalari saat üçte duydunuz mu?"
RM_e591e41b-578b-4ce8-8e9b-88fcd4918106 = "Evet. Radyoda anlamsiz sözler duyulduktan hemen sonra..."
RM_6b863fec-64ad-4d38-a36a-a19027a97aca = "Baska soru yok sayin yargiç."
RM_52ec48f4-06f9-4c49-a19a-847b9efd23db = "Albay Downey, kürsüye çiktiginiz için tesekkürler."
RM_b1f64a44-eda4-41bd-8dbf-b432c9d4f358 = "Cephanelikte kaybolan mayinlardan haberiniz olmadigini söylüyorsunuz..."
RM_ca68f1fe-daf6-4163-8d66-74d8c99071e0 = "Elbette. Büyük bir tabanimiz var. Ve manifesto tahrif edilmis."
RM_d4f1abd5-b918-4e80-8c25-aad53e1bcdfa = "Mayinlar da öyle, Albay. Radyo dalgasiyla patlatilacak."
RM_fbdbe3f4-903b-4c33-9a54-5c3d64686947 = "Ilgi görmüyorum."
RM_faa51cb6-c44c-4604-82db-b5036e0b4be0 = "Mayinlar patlamadan hemen önce, Karargah bozuk bir telsiz mesaji aldi."
RM_2bdff761-83a7-4d66-8d14-7e525454dc09 = "Bize bozuk, yani. Uygun frekansi dinleyen bir madene..."
RM_2c6b478a-c233-48a5-a086-a18fd75f7b5d = "...bu sinyal dedi ki... PATLAT!"
RM_e3d57b44-19bd-4ab0-90a9-2199e48447ab = "Ve radyo yayinini bulduk Albay. Odanizda. Sinyali gönderdiniz!"
RM_2afbc8cd-510a-464f-85fe-5f7ea97ddea2 = "Kesinlikle haklisin! Savasta her gün adam kaybedersiniz."
RM_916ac00c-3ade-4776-adb8-8f331baf7c3d = "Geri kalan adamlari savasin nasil bir sey olduguna hazirladim - gerçek savas!"
RM_13e4ce67-54ed-4629-80df-b06ffd5f5939 = "Mübasir, albayi tutuklayin."
RM_82e38655-5c3f-453a-ac10-fc2b2660614f = "Davami dinlendiriyorum..."
RM_dd8e5a36-f247-4679-9808-923ec93f873f = "VHS: Gece Bekçisinin Dönüsü"
RM_fd60ef8a-a45f-44e5-91a6-90da8a824f8b = "Gece Bekçisinin Dönüsü"
RM_a5f9ab9b-ea24-495d-8733-bc6a1dba8d2c = "Gece Bekçisi en büyük düsmaniyla savasmak için geri dönüyor: Borsaci. Porter City sokaklari kargasa içinde ve borsalar her zamankinden daha fazla yükselirken, Gece Bekçisi yikici kötülügü saglikli bir kötülükle dengeleyebilecek mi? serbest piyasa ekonomisi? 1989. PG-13."
RM_fe20c080-8744-4799-8ddb-d788c2745806 = "Ona vuramam... Onu göremiyorum bile... geceye karisiyor!"
RM_cd58412c-5444-433c-a8db-a292d32fed16 = "Ama Gece Bekçisi öldü!"
RM_34610f28-2d76-4804-aa01-53304e096b0c = "Hayir. Sadece dinleniyordum ve... geceyi izliyordum."
RM_f7e8f19c-da14-4480-a9b8-c4dc745e4564 = "Hoo hoo hoo, Porter City sokaklari hiç bu kadar kötü olmamisti..."
RM_74da3bfb-392a-451f-95b2-02c411ddbcb7 = "...ve karim hiç bu kadar yüksek olmamisti! Hoo hoo hoo!"
RM_3aaa5e27-29ad-4911-ab27-ca064d2438c6 = "Aslinda borsaci, basit bir ROT analizi yaptim..."
RM_365d43b3-9878-4bbc-b516-b41751e57e86 = "... ve yil sonuna kadar, Porter City'nin suç orani kar marjimizi etkileyecek."
RM_2db67ab5-be29-4fc8-9a67-e3129e924217 = "Öyle mi? Kendi analizim farkli bulundu."
RM_20c70fb5-4503-4998-a128-08ca05936d69 = "Ama önemli degil. Bu arada, su panoyu benim için getirir misin?"
RM_4342a825-f58b-4e71-b907-eca5fc010cc4 = "*elektriksel vizilti ve çiglik*"
RM_857399ae-8539-4f31-8967-7630f9171eb1 = "Hoo hoo hoo!"
RM_cbb85102-8175-4e54-bbcf-00c606edc6c5 = "Terör saltanatiniz sona erdi Borsaci. Gizli raporunuzu gönderdim..."
RM_82cb8ee7-8f84-4776-9e7e-08b57e6dd067 = "...Porter City TV'ye. Yatirim getiriniz sifir."
RM_831edecf-cb39-4d0c-b509-5dbab522751f = "Ekonomi bensiz çöktügünde sürünerek geri geleceksiniz!"
RM_c7cb1cf7-417c-4da8-b792-f031f67cd61e = "Borsa komisyoncusu hapiste. Bunu sizin için bir kayip ve toplum için bir kazanç olarak isaretleyin."
RM_b0155584-de0d-4164-a09d-62d579ba9cd3 = "Ve izlemeye devam edecegim... gece..."
RM_be7dd9c6-9f32-427e-86eb-30194dc0fd15 = "VHS: Fred ve Ali'nin Radikal Yolculugu"
RM_5a8fe786-d7b1-4060-8fff-11b8e17e32d4 = "Fred ve Ali'nin Radikal Yolculugu"
RM_ce901b6c-76d0-4e49-9f5b-5f584c57ce62 = "Martin adli bir zaman yolcusu, lise ögrencileri Fred ve Ali'ye önemli bir sunumdan önce görünür ve onlara, eger sinavda basarisiz olurlarsa bunun insanligin sonunu getirecegini söyler! Neyse ki Martin, Fred ve Ali, tarih testinin konularini gerçek hayatta deneyimleyebilmek için onun zaman makinesini kullaniyor! 1985. G."
RM_49ebb532-6970-4f7d-825b-5bd5b80ecfb6 = "Fred, bu büyük tarih raporunu tamamen unutmusum dostum, seninkini kopyalamak zorunda kalacagim!"
RM_1e52481f-5ade-477c-932a-946383548f77 = "Ama Ali, ben raporu tamamen unuttum!"
RM_10396ab6-3a5b-4fc4-acce-1825e137f523 = "*elektriksel yanip sönme ve bükülme*"
RM_ab1f8419-f146-4e30-a2d4-8b270fbda493 = "Woooah!!! Sen de kimsin?"
RM_90466d56-5f25-4548-9fdc-3b60b200a796 = "Selamlar. Ben gelecekten Martin. Tarih raporundan çakarsan..."
RM_55ade0c0-fb2d-42c8-bcbb-7454e50df658 = "..bu dünyanin sonunu getirecek. Ama sorun degil. Bu gizmo bir zaman makinesi."
RM_d2c3443a-e96e-496d-a00d-e99113642961 = "Ve bunu zamanda geriye gitmek ve raporunuzdaki kisilerle tanismak için kullanabilirsiniz."
RM_9eba9660-1b88-4f1e-88b0-45ae94aed278 = "Vay! Gerçekten mi?"
RM_f45c6b35-2211-4433-9f93-15b9aa868139 = "*gitar riffi*"
RM_59d9f4fa-e849-454f-9108-88ad13ceca3d = "Proletaryanin kurtulus zamani geldi!"
RM_d1921a1b-60e4-4c90-bd91-6840ac6ba968 = "Hey Fred, Rusya'dan Vladimir Linen herif degil mi?"
RM_f2980293-ad6c-4142-a093-230d7f761b91 = "Ben proletaryanin öncülerinin lideriyim..."
RM_5e5ade86-aad3-4c4d-a769-a80c606f981e = "...ve yine de bu burjuva dondurmasinin oldukça lezzetli oldugunu kabul etmeliyim..."
RM_3eb0e715-0013-461c-a8e3-80cc5804ada6 = "Hey Fred, bak, Kleopatra hasta tekerlekleri patlatiyor!"
RM_a70b7449-1415-4a11-b64a-9a64368c4a68 = "Hey Ali, bak, Selahaddin'in break dansi!"
RM_ee92c33c-17ee-4945-ae5e-3416d8132cca = "Ve Vladimir Linen, yani Lenin, Çar'i bu sekilde devirdi."
RM_0d89fdf8-99e6-4224-ac72-dd65ba5a3656 = "Ve Selahaddin Haçli Seferlerinde böyle savasti."
RM_c97589c5-7858-4e34-b335-90826b94ea87 = "Iste Kleopatra Misir'i böyle yönetti."
RM_8962dd23-9bb3-4982-b606-17064ef8b710 = "Aferin Fred ve Ali! Ikiniz için de bir A arti!"
RM_7b57e2c3-94e3-4ead-b465-dd318eed18dd = "VHS: Dog Goblin II"
RM_3db7eff6-f2ed-470d-937a-4375a97c6db5 = "Köpek Goblini II: Bavyera Katliami"
RM_1d75c8d6-4f4b-4897-bc01-a9ddd04da676 = "Adini bir daha söyleme... Kendisi ve arkadaslarinin Bloodtide Dagi'nda Köpek Goblin'le karsilasmasindan sag kurtulan tek kisi olan Charity Copper, bir kuyu için Almanya'ya gider- Ancak yeni arkadaslariyla ücra bir Alp köyüne geldiginde, kasaba halkinin tüm konusabildigi yerel bir kuyuda garip bir kesif oldugu söylentisi olur... R. 1991."
RM_c1fff93a-03cc-4068-a243-3ed996013df8 = "Geçtigim yildan sonra Almanya'da olmak kesinlikle güzel."
RM_fba67587-cd4f-487b-b8f6-f060b2d4845d = "Dört arkadasim Köpek Goblin'in elektrikli pençeleri tarafindan parçalandi..."
RM_f8e4180b-011d-4003-8510-e5607d8b1b5f = "Evet, Charity. Bunu duyduguma çok üzüldüm."
RM_7dbc0a2a-e3dd-4c91-9f6b-eba1cd2ec7a0 = "Haydi, aklini bu isten uzaklastiralim mi? Bu gece mehtapli havuzun manzarasinin keyfini çikaralim..."
RM_9d9136a2-8f39-472a-aade-4228e56bf28b = "Ja. Dieter hakli. Tüm yerliler bu garip kesiften bahsetmedikçe..."
RM_c9d59c09-5cc9-4e4e-bba6-c7f30d14bf17 = "... kasabanin kuyusunun derinliklerinde."
RM_dd41e22b-c919-4e5b-901e-fe60838a9a79 = "Oh, evet. Pençeli, tüylü, kocaman bir yaratigin cesedi."
RM_189ece34-6cac-4947-b2a4-8f37d5137242 = "Ona "der Hundekobold" diyorlar.""
RM_2b66eeca-cad6-4744-befe-215775dbbcb0 = "Bu su anlama gelmiyor mu...?"
RM_6d3e044f-3494-47ba-a4f5-e9dfcb2c26a4 = ""Köpek Cin"? Bu dogru Ingilizce mi? "Köpek Cin"?"
RM_5cbde55b-5752-46b3-8103-30599f31a8f2 = "Bence "Köpek Cin" dogru Dieter. "Köpek Cin" dogru mu, Charity?"
RM_8a79ef67-614d-4061-acf6-500872e674db = "Hayir! Üç veya daha fazla degil!"
RM_4d7f2873-8b48-4496-b69e-2ba75a188909 = "Öyle miydi?"
RM_fa6b6726-3001-49ff-9fd1-10d96203b3ac = "Der Hundekobold! Nein! Nein!"
RM_44b8016b-94e5-4f5d-8b26-c6d263edff3c = "Ah hayir! Bir daha olmaz!"
RM_0c0a857c-0e4a-4270-afe0-da06169fd8d1 = "<Alman aci ve ölüm sesleri>"
RM_8395801f-a069-4425-879d-f2aa3d862d41 = "VHS: Dog Goblin III"
RM_8ced8f7b-34ff-4984-bd91-5bac4abe3cce = "Köpek Cin III: Köklere Dönüs"
