// Archivo generado automáticamente

RM_46dd347a-426f-428b-bc07-ab9d13654930 = "Dime que tienes los malditos diamantes, Sr. K".
RM_a2ecc538-cce6-40f2-af7b-d2010378a02e = "Tengo los malditos diamantes, Sr. P. Pero le dispararon al Sr. H. El Sr. E lo traerá aquí".
RM_3b5dcb13-4e13-4e85-b703-c86754a14d6a = "żAquí? żJoder aquí? ˇNo somos un maldito quirófano!"
RM_e32f29e1-8d1d-4262-90d4-d8a124ecb98f = "żCrees que podemos llevar al Sr. H a un médico sin que la policía lo sepa?"
RM_1fd0d484-4df9-4a05-b988-8f0a4664e42c = "Todos, mantengan la calma. Comamos algo antes de que la mierda se descontrole".
RM_bc62cd99-ed4a-4ce4-b414-2c6decec4d3c = "żErrol Costello? Ese gilipollas no sabe cantar".
RM_d0a935a4-e64a-40b1-a030-9e60269bd3f6 = "Ahora, Paul Jones, ese hijo de puta podía cantar Y bailar".
RM_cc331626-c9bd-4e87-8dbb-1ca80de00cab = "A nadie le importa una mierda bailar".
RM_ffa10714-1171-4e11-9e3d-0cd76ffa4d47 = "Ahora solo una pequeńa perra diría algo así..."
RM_12c4298d-0246-465e-b204-a1b78c849e31 = "ˇOH JESUCRISTO! DIME QUE TIENES LA BALA."
RM_f58ab0b3-fbe0-41b0-ae03-d2dce79fde95 = "Tengo algo, Sr. H. Un amigo en el tercer distrito".
RM_24f5c214-e767-4d5e-9779-cceaf333c4a9 = "Él dice que eres un maldito gemelo del oficial Caine. żNo es gracioso?"
RM_db4c8794-fa16-4877-a531-b800bdc54d8e = "Jesús, żqué pasó?"
RM_fe24d90d-70cb-4920-9118-203c15221765 = "Oh, mierda... El Sr. S era policía. Dijo que yo estaba... bajo arresto".
RM_b87e4542-9465-4435-825c-9611edc7126d = "Joder".
RM_8414edaa-8793-4d40-84a6-e2760270f08e = "Mierda..."
RM_887b79cf-cd40-4d19-99e4-f7da96410a68 = "VHS: satén y seda"
RM_fdbda3f7-ddc5-4949-a962-c5b832489259 = "Satén y seda"
RM_bd915568-656e-40a1-b784-c1ad4b7c0063 = "Una nueva y misteriosa obra maestra del genio detrás de Double Mirror. Freddy, un joven amable, se ve envuelto en un mundo oscuro e inquietante después de espiar a su atractivo vecino. 1986. Clasificación R por violencia , temas para adultos".
RM_2d723315-2e1d-4447-940a-1cc0725c778f = "żQuién eres? żQué haces aquí? żMe estabas espiando?"
RM_56a6fa48-38ab-47dc-a7fc-6ed77a6c0d52 = "No, tenía... curiosidad. Lo siento. Me iré".
RM_a9e94a44-591f-4bdd-a137-0ef40dab28f9 = "No te irás hasta que yo diga que puedes ir. żQuieres hacerme dańo?"
RM_7e62b6bc-5694-46b8-b6ef-23df7a32606d = "No".
RM_0e61ba59-cbc5-43b1-a9ae-175e69b84270 = "Mentiroso. ˇERES UN MENTIROSO!"
RM_3bc979e1-3c6f-4592-a8a5-11cc7374fa1c = "Apuesto a que Maxine te contó todo sobre mí, żno es así, Freddy?"
RM_ae59c702-5e48-45f4-87ed-241cb1a91828 = "ˇERES UN MENTIROSO FREDDY!"
RM_e988efbe-427e-45a8-8fe3-f498abcf8b67 = "żCREES QUE ESTO ES UN JUEGO? żEH?"
RM_c9b3aba8-3cc9-4983-b28f-44d7c0c6b8fd = "CREES QUE PUEDES ROBAR LA CHICA DE ALGUIEN..."
RM_5db61b4d-2d39-4ee6-9ec5-0b87aa4d7385 = "Ella no es tu chica".
RM_b26071ef-3c03-4710-b109-ebc25b1896a2 = "*risas*"
RM_32f19e75-de3a-41b6-8d20-6744f05a6b7a = "żDe quién es entonces? żEh? żTuya, Freddy?"
RM_42840730-01f3-4bc4-86e1-252cb72dcbf5 = "*puńetazos, jadeos*"
RM_26a5bb33-0650-4390-8b8d-4de89a15bc4f = "[img=música] En seda y satén camina por su vida... [img=música]"
RM_61e23d65-80d2-41bf-910b-546696d26981 = "[img=music] En seda y satén, besa a su amor... [img=music]"
RM_55f53d3f-91d2-4510-9c3d-c2b6acc48dbc = "[img=música] En seda y raso, será enterrada... [img=música]"
RM_5783a64b-a9da-4533-9702-c3edae544087 = "VHS: Tres muertes y un divorcio"
RM_716898f7-dd1d-4df5-9f05-8bfabc35d862 = "Tres muertes y un divorcio"
RM_96af18bf-021d-4398-9893-9649d899b720 = "Caramba, żme enamoraré alguna vez? Jack está teniendo un mal ańo, pero después de conocer a la misma chica en tres funerales, empieza a enamorarse. Pero, żencontrará alguna vez a la żmomento adecuado para decírselo? 1991. Calificación PG-13 por lenguaje".
RM_a8776c21-f4a7-4884-883a-921726c7f5bb = "Bueno, um, tres funerales en tan poco tiempo pueden volver loco a cualquiera".
RM_1ef62d0a-3659-405d-a5ff-dc1f4aea735f = "No quiero que el elogio de mi hermano sea solo sobre mí, um..."
RM_ed1e1a60-c5b9-4709-b33b-6fab37d099d4 = "Pero sé que a Jason no le importaría. Porque era, bueno, un romántico como yo".
RM_4ff1c921-32c2-4e0b-9a89-7556a4b6ccae = "Aquí hay una dama, y ??jodidamente... jodidamente la amo, yo sí".
RM_2baebc0f-20c5-414e-945b-59a6f8e8fab9 = "Fue durante el funeral de mi hermano, cuando saliste corriendo y te atropelló el autobús..."
RM_ce1dd054-cafc-4628-9b72-6f8e2a00ef39 = "No recuerdo qué pasó ese día..."
RM_66147b30-eece-459f-8e74-aa154b7c7154 = "Bueno, cuando despertaste, habías olvidado lo que había dicho. Y bueno..."
RM_3a3b2f95-af2d-443c-9622-74d54db37cea = "Samantha se asustó muchísimo. Porque quería que fuera perfecto".
RM_a50d6457-3062-4c5f-ab73-c91ce2b00ad2 = "Bastardo de mierda, nunca habrá un momento perfecto, żverdad?"
RM_2633d6a7-5bb4-45ca-830e-cc0e58545f3e = "Solo dilo, Jack. Por favor".
RM_58dc6909-e26f-4c60-a6af-159c21dee467 = "Cristo en un bollo. Te amo, Samantha. Uh, bueno, lo he dicho ahora. De nuevo".
RM_2bbbfe6b-94dd-4aed-8fd3-6fe5dca0b2c8 = "Bueno, żqué dices entonces?"
RM_4ba8f191-d7ea-47fc-a5d4-2bcbff1b6044 = "żTe estás divorciando de mí? żSolo porque me acosté con tu tía?"
RM_8c0335ce-ec0f-4a36-95fa-cf1942754d58 = "Tetas de mierda, Samantha. Pendejo de mierda".
RM_124c8e97-532f-4dd7-919a-e664914e0634 = "VHS: tren bomba"
RM_9d3e6182-8cc6-4ddc-acff-9d4bde7dc936 = "Bomba de tren"
RM_962052f0-40a8-4e29-8bde-bbd81b267cd4 = "Caiga a menos de 80 mph y la luna de miel del agente especial Nick Dubois se descarrilará... ˇpermanentemente! 1992. Clasificación R por violencia".
RM_1d34ba75-c6a9-4f90-bc08-5de0b9e1e67f = "<zumbido de radio> Nick Dubois aquí. żQuién es?"
RM_f1e49fc3-2542-47ac-8233-7fc3beccee4a = "Tengo una pregunta para ti, pez gordo. Hay una bomba en un tren".
RM_2914fe46-03f3-4587-b1c0-20d93655b43d = "La bomba se arma cuando el tren supera los 80 y explota si cae debajo".
RM_22a63a82-85da-4ff6-ae71-5d56c16a1e0d = "No me interesan los juegos, amigo. Estoy de luna de miel".
RM_b1170438-5194-4937-b781-de78942933a9 = "*explosión*"
RM_e6e98b37-5131-4744-95ab-cf0ddd92d9e9 = "żOyes eso, Nick? żTe parece un juego?"
RM_a8b1cda2-1d69-482c-88cd-55fdb89fd7ea = "Tammy, żestás ahí?"
RM_5b5220f9-f212-42ae-beeb-a3b4c4ff45c7 = "Sí. Nunca pensé que pasaríamos nuestra luna de miel desactivando bombas..."
RM_e6774c57-fd8a-45e2-a9ab-9582077283e3 = "He encontrado la primera bomba. Tercer vagón".
RM_4a1faee4-8d8a-46c5-a4f4-0da40cb03c03 = "Estoy recibiendo la seńal de video. Un dispositivo C4 tosco, lleno de clavos".
RM_8a2ec44b-0361-4cd9-9247-efb5e898efed = "Rocíe nitrógeno líquido en los cables de la izquierda".
RM_14c96c32-9b30-427f-a526-8edd217c8446 = "Ahora tira la bomba por la puerta del vagón".
RM_aa857e1a-f310-4baa-9d99-f381d2267ddd = "Solo recuerda tus días de fútbol, ??Nick. ˇLleva esa piel de cerdo hasta donde llegue!"
RM_4a184990- 18a8-4ca4-864b-3cb3d4011def = "Oh, Nicky. Corriste un gran riesgo corriendo por los tejados, pero lo conseguiste. Bravo".
RM_4ed2d7be-e2b2-4573-b6d5-cf1265f4b852 = "*aplauso lento*"
RM_b001db56-e3c4-4436-bb4b-5964ce28424a = "Por cierto, Tammy está en el último vagón con una bomba alrededor del cuello".
RM_a465d2d0-8405-48cf-8dac-97650d20b993 = "Y el temporizador es el cronómetro de tu famoso partido de fútbol".
RM_45484a09-c0ec-411d-b150-d609a89ed10b = "żTe acuerdas, Nick? El que los Griffin dijeron que era diez segundos demasiado lento..."
RM_4ea02d68-7968-4673-b761-dcc192173a39 = "...y tu touchdown no debería haberse permitido..."
RM_0c0e85a6-fc83-4077-9f83-d6f72bfd2e7e = "ˇBastardo!"
RM_54f8e3d3-c291-4d55-a02d-4b5defb18df8 = "ˇEmpieza a correr, Nick!"
RM_3f323df1-dfe8-48a1-9df6-92bc6887057a = "VHS: estás muerto"
RM_774de410-b230-4f3e-a878-b2a4a6d9e1ca = "Estás muerto (también conocido como Vous Ętes Mort)"
RM_8c8fbf16-4f00-4c82-bfd4-db82b613b35e = "Un asesino anciano se une a una nińa pequeńa para acabar con los narcotraficantes que mataron a la familia de la nińa. El éxito de taquilla francés de 1992, ˇahora para ver en casa! Versión del director sin clasificación".
RM_7557105d-22a9-485b-a971-c604fd2a122f = "Soy un asesino. Mato gente... por francos".
RM_5054f415-8240-41c5-a9fb-326ec3e9a6d4 = "Oh. żMatas a la gente mala?"
RM_7fcf1c6d-3211-4d72-b651-e22d20f43f90 = "A veces. Pero este no es lugar para una nińa".
RM_1873c890-92a8-4195-a7da-f51c535c7b0c = "Quiero matar a las personas que mataron a mi familia".
RM_0b21968f-a3dc-480c-9939-ebd27add37ad = "Está bien, Lillian... está bien".
RM_1f2ebf8b-c7ac-4014-84e2-decc0cd44860 = "Me encantan estos momentos de tranquilidad antes de que se rompa la presa".
RM_85a10fe4-99bb-4109-ba8f-37acd6799e08 = "Las grietas gimen, los pequeńos hilos de agua. Luego estalla de par en par, de par en par..."
RM_c0604942-9b9c-4a62-b0af-9e38d9f96f70 = "ˇDiez-cuatro, equipo alfa en posición! Disparo limpio. Esperando seńal".
RM_87ad87d8-341c-4a36-b94c-45da963041a2 = "*luchando, disparo silenciado*"
RM_03f48cfa-f72d-4515-8b82-d2cd13a0297d = "ˇEquipo Alfa, responda!"
RM_d25f0b17-924e-4c77-a55c-0f48aaef88f7 = "Bonjour, Sr. Michel. Sus hombres están muertos. Y mi amigo está justo detrás de usted".
RM_98507394-75f1-4c4b-bba1-f231cc3efe2a = "*luchando, disparo*"
RM_719384a3-bce5-4325-a178-61951c8790aa = "Esto es todo... para mí. Un disparo en ambos pulmones... Lo siento Lillian"
RM_50990e5b-9276-45b2-8556-96d2417ac868 = "No, Jacques. Todavía no hemos encontrado quién mató a mi familia..."
RM_b5cd36b5-2065-42d3-bf43-9547f14cb65a = "Sí, pequeńo. Fui yo. Y ahora, hemos matado a todos los que ordenaron el ataque".
RM_3acde2ff-99f0-4d5e-94c5-5f17bd1aeace = "No. No. No es cierto. ˇˇˇNooooooo!!!"
RM_1fb4c62f-a02d-4d44-a692-fd3c7d500ceb = "VHS: Frente de guerra"
RM_a1bc7a60-5b8a-4306-b3f7-9122c0dec59c = "Frente de guerra"
RM_20737d14-4c96-4d69-bf3e-5e5a8b100f19 = "Un grupo disidente secuestra un submarino nuclear y secuestra a la Reina de Inglaterra. Solo un hombre puede detenerlos: el agente de la CIA Tom Heller. 1989. PG-13 por violencia".
RM_58521b1b-356c-4db8-9f26-4232f0ffa456 = "Tom, żviste las noticias?"
RM_2b48e2b6-e1d9-43d4-8d14-adaa3cda4bde = "...Un submarino estadounidense ha desaparecido cerca de la costa irlandesa. Se desconoce..."
RM_1c9a903a-e2e5-49a6-ad9e-f87292a8a1fd = "...si se relaciona el secuestro de la Reina de Inglaterra esta mańana."
RM_9c80f7fd-f6c6-47f6-b145-3688dd05c277 = "Están emparentados, Tom. Y vas a recuperar nuestro submarino y la reina".
RM_b0e2e79a-8c81-46ff-bd55-2e8ba9f42c3f = "Y pensé que mi día había llegado a su punto máximo cuando mi esposa me dijo que estaba embarazada..."
RM_a9ae995d-1c14-4a56-b674-5f4f4bdcf8b7 = "Este es Tom Heller. Enlace de la CIA con la Marina de los EE. UU. żQuién es usted?"
RM_87bd6ae3-cb9d-42a4-9c08-0312707df51f = "Daniel O'Connor. Encantado de conocerte, incluso si estamos en submarinos distantes".
RM_6bc9da6a-543c-4d53-94cf-d5b4174d4515 = "żQué quieres?"
RM_6930b590-5e3e-49e0-9c7a-7871c07b7e0c = "Queremos que los británicos salgan de Irlanda del Norte".
RM_833415c4-ac4d-4b3e-b940-b4b8f828ee2e = "Mucha gente pregunta por la Reina, Daniel. żEstá bien?"
RM_c29f1d22-8dc1-4e20-8594-91661a6a4054 = "Sí, está justo aquí".
RM_78f1f03d-0a48-4e77-b46d-8f431e181b85 = "żHola? Esta es la reina".
RM_8aee7c84-020d-4248-b21c-9179f2b30d5b = "Hola, Su Majestad. żEstá siendo bien tratado?"
RM_4e9f2eb0-381e-4748-aca5-09976d9bcddd = "Oh, muy bien. Acabo de comer un sándwich de queso. Aunque es muy pequeńo aquí".
RM_02ff92e7-a953-40e6-8c3e-549d1e1b6d81 = "Siéntese tranquila, seńora. La ayuda está en camino".
RM_f1e1b41d-d8eb-4e7e-87ef-c93eb8e0779c = "El análisis de audio lo confirmó, Jack. Esa no era la Reina".
RM_94659de9-703a-4936-9692-24edeb3b9e40 = "Era solo Daniel O'Connor haciendo la voz de una anciana".
RM_74044828-c11d-4bf9-b6cc-34d27e7c753b = "ˇNos han superado - otra vez!"
RM_831f135d-7e59-48e6-bf09-ddfab569f380 = "Así que mentí, ży qué? Los británicos han estado mintiendo durante 800 ańos..."
RM_031d89d5-5d91-4b47-af04-249b9d527cee = "Devuélvenos el submarino, Daniel".
RM_bcaab040-faed-47e4-ab9f-9e423229364a = "No, es mío. Vete".
RM_602b3c06-31b5-4061-8028-9b5d82e4304b = "VHS: Todo de nuevo"
RM_1782ffeb-4540-45ac-8736-657b358c26e9 = "Todo de nuevo"
RM_d4b1af35-fdab-4dca-ae58-65c534ebd0a2 = "Larry Coleman acaba de tener el peor día de su vida. Su esposa se está divorciando de él, lo despidieron de su trabajo y su mejor amigo murió en un accidente automovilístico. Él siente que tiene no tiene más remedio que quitarse la vida... pero cuando lo hace, se despierta en su cama la mańana anterior, a punto de vivir el peor día de su vida una y otra vez. żLarry arreglará lo que le pasa? su vida, o está condenado a repetir sus errores para siempre? 1992. PG por violencia implícita".
RM_a0fcc48c-348a-44bf-86fa-839324686cf9 = "Mi vida ha terminado. Perdí mi trabajo, mi esposa y mi mejor amigo, todo el mismo día".
RM_db7baf4c-f0e2-4f57-af8b-15acbb9ab2f9 = "Adiós mundo cruel. No te extrańaré".
RM_18988078-4f97-4ff4-8a04-5b3f44eddd83 = "żQué...? żEs de mańana?"
RM_7afcf595-8a2a-4c6b-bef9-3493594d7c59 = "No quiero escucharlo, Larry. Dijiste todo lo que tenías que decir anoche".
RM_3a901053-7c9f-4719-8c9b-4523e3ba370a = "żAnoche? Pero anoche te fuiste, Gina. Me dejaste".
RM_0eee54e9-77a9-4654-912f-268a18c1294b = "No, no lo hice, pero lo estoy considerando seriamente. żNi siquiera puedes pedir perdón?"
RM_1dbd40ff-2a95-45ee-9a69-8b16c025cb9b = "No entiendes Gina. Ayer... me dejaste. Me despidieron. Y Harold murió".
RM_fa28d7de-5a59-4fa9-bc70-86e4373e76eb = "żDe qué estás hablando? Acabo de ver pasar a Harold. Está bien".
RM_b7c5ca98-e92b-4653-9792-7ac926a86f67 = "Harold, escúchame. Detén el auto. No conduzcas al trabajo hoy".
RM_90ca7425-c3d3-449c-93ee-39e52ee3881d = "Jesús Larry. Todo está bien. Espera... żqué...?"
RM_23170bac-6a11-4679-99d5-84c0d86754c0 = "*frenos chirriando, choque*"
RM_9c656a3d-32aa-484e-96e3-011f0eeeb193 = "Carińo, he vivido este día diez mil veces".
RM_ef8b1328-05fe-42c0-8d70-233e7e1d113d = "Lo sé, Larry. Ambos lo hemos hecho. Nada cambia nunca".
RM_a34a1ea5-84d8-4b04-99ea-fe6c3285b644 = "No Gina. No de la misma manera. Mantuve mi trabajo y evité que mataran a Harold".
RM_3d7f3328-bead-4a0d-b376-8e19b6f29ec1 = "Estás diciendo locuras, Larry".
RM_69a645b8-7342-412c-bdba-b6300c4f8064 = "No. Loco es lo que solía ser. Pero estoy tratando de cambiar".
RM_e8d1e417-304b-479c-bfc8-208cceef572e = "Empecé a escuchar. Todos los días te hacía preguntas".
RM_da8d8867-ae47-46f2-a0f9-9c85280b5cfd = "Tu color favorito es el azul real. Tu postre favorito son las bolitas de crema".
RM_a703d4e7-bc49-48f4-b271-47507cd448c6 = "żCómo hiciste...?"
RM_243df6c2-3929-4d69-b59d-f5a783fb6c2d = "Tenías un perro llamado Spot. Solías hacer pastel de mantequilla de maní para tus hermanas".
RM_f3bfe65c-54ec-4302-81cd-5b31f36d7c6a = "Yo no..."
RM_773e08f1-a161-462f-b048-ac71018ad424 = "El amor que una vez tuvimos, Gina, sigue ahí, una pequeńa chispa. Déjalo crecer de nuevo".
RM_6653728b-c2a0-4538-bf72-013e37b85130 = "Oh Larry... cómo... oh, te amo Larry. Te amo tanto..."
RM_827cd722-e8c0-4925-922b-31024cd5c5f3 = "<ruidos de besos>"
RM_a809a205-2edb-47c3-ae89-1bb0ddcdd212 = "[img=music] Tu amor es lo que hace brillar mis ojos... [img=music]"
RM_ac346b9d-d404-433c-8987-e34d11b6f753 = "Es una nueva mańana... ˇES UNA NUEVA MAŃANA!"
RM_7dd0f9ca-16ad-4a92-add3-1f271101609a = "VHS: Cyber ??Killer 2"
RM_95474519-aff7-46c8-89b7-811e4c89f2c9 = "Asesino cibernético 2: Camino de la redención"
RM_17f2a4fa-a29b-4bd1-bd1e-3dad6f4cda6b = "Nadie le cree a Jane Wright. Encerrada en una institución, sus diatribas sobre un ciberasesino llamado R-469 del futuro solo la hacen parecer loca. Al menos hasta que aparece el ciberasesino y comienza a disparar. derriba al personal mientras busca a Jane. Pero su hijo Peter envía un ciberasesino propio del futuro, X-371, y el escenario está listo para una batalla por el futuro de la raza humana. 1993. Clasificación R por violencia y sangre. ."
RM_95a17096-4253-4c9e-9d00-d887c597957e = "Te lo sigo diciendo. Se llama R-469. Es un ciberasesino del futuro".
RM_ddc8a6ef-1f55-438e-95e2-883c273aa307 = "Mm hmm. żCómo era tu relación con tu padre?"
RM_494757a8-372b-45d4-a1a5-d717e7aa590e = "ˇESTOY AQUÍ PARA MATAR A JANE WRIGHT! żDÓNDE ESTÁ? żDÓNDE ESTÁ?"
RM_0e544c9f-cb40-44d7-8541-72bb033e90b3 = "ˇNo, no! ˇEs R-469! ˇTe lo dije! ˇOh, Dios!"
RM_e9c07aa0-fd64-4152-b362-45bd3530d52b = "*efervescencia eléctrica*"
RM_6ee51876-1522-4571-aa68-70d5d14e2a5d = "ˇBAJA, JANE WRIGHT!"
RM_c2c8d21c-bd77-4915-b0c8-d1c3d27597f6 = "*disparos, puńetazos, rotura de cristales*"
RM_98504e37-4518-4e51-9cb3-6391b8aba09f = "Me salvaste. Pero... también eres un ciberasesino".
RM_ca327218-6f65-41fb-b921-6523a6f5d471 = "SOY X-371, ENVIADO POR TU HIJO DESDE EL FUTURO LEJANO DE 2003".
RM_6c6b09c0-97c4-4887-badf-77f61b65d782 = "Vamos a buscarte unos pantalones".
RM_4d6711d0-35f8-4238-b3b5-391a6fadb9f7 = "ME GUSTA ESTAR DESNUDO".
RM_96137e35-c0ce-4324-860e-44a516e8ea2f = "żCómo es mi hijo?"
RM_7a81d898-c69d-4ce5-9753-21dc7e5d7419 = "ES EL CABEZA DE LA REBELIÓN HUMANA. TAMBIÉN TIENE DIEZ AŃOS."
RM_3b6eb644-00b7-4996-8a1e-409d1639e9b9 = "żY su padre? żLo he conocido?"
RM_43b24f2c-1087-4b61-8507-e49b33ab7bbe = "FALTAN REGISTROS. INFORMACIÓN NO DISPONIBLE".
RM_d2e0fab0-352c-4ff7-9078-a728254207b1 = "ˇSALID! ˇM-ME FALTA EL BRAZO SÓLO ME HACE MÁS FUERTE!"
RM_d8d2977d-04c1-43d7-a454-ecf5ad8fab53 = "ˇHOLA HERMANO! AQUÍ, ALMORZA - ˇUNA GRANADA DE MANO!"
RM_bac65c85-ae55-4960-bccd-089bf221879e = "Así que se acabó. żVas a volver por donde viniste?"
RM_543252bd-3bc7-4130-8304-10cc84e2a713 = "NO. HE ENCONTRADO LOS REGISTROS DEL PADRE DE SU HIJO. SOY YO."
RM_8fe6ad2c-6e9a-4a9e-ba5b-971a495816f8 = "Dios mío... ven aquí, basura..."
RM_31a82225-815b-4031-b571-1e54d164226c = "<ruidos de besos> *efervescencia eléctrica*"
RM_24ca71c7-bde5-4697-85ca-53a24a3602ba = "VHS: Hombrecitos extrańos"
RM_22d90c7d-64b9-4f30-8a89-e18ab5bba9b1 = "Hombrecitos extrańos"
RM_5dbf2ca8-5ef3-4a6d-b6ac-ad525b9555fc = "Joan Morton no se ha sentido bien. Torturada por sueńos extrańos, recurre a un psiquiatra en busca de ayuda. Pero lo que descubren los sacudirá no solo a ellos, sino también a los cimientos mismos de lo que considera la realidad... 1985. Clasificación PG-13 por temas de terror".
RM_2fed0a35-21e3-41c6-a636-95ba0dfb1ad4 = "żY estos sueńos son siempre los mismos, Joan?"
RM_dd101f60-b0e2-41bd-b2a0-33b2aafedc87 = "No, no exactamente lo mismo. Pero todos comienzan con un relámpago..."
RM_3ba16601-9342-4f9d-9ff0-216ba8ab83b0 = "Y una voz que canta. No es inglés. Entonces estoy allí. El lugar donde dejé el último sueńo".
RM_58ca4160-7a97-45c0-adeb-6e79fcbe8589 = "żY qué tipo de paisaje ves?"
RM_2bf59b7d-4046-4eee-8dae-f364d4b74c09 = "A veces una ciudad. Bloques de oficinas. O un bosque. O un lugar con seis casas. Siempre seis".
RM_4251f22d-224d-4e36-a71e-af61cea65b2f = "Ya veo. żY hay otras personas allí?"
RM_c184ef3a-17aa-457e-ae31-d896be45b8d7 = "No. Solo yo. Y no hay viento. No hay vida salvaje. Solo algunos edificios, hierba, árboles..."
RM_f5736cde-ad38-4f75-8c1c-42c0f2bd427c = "Pero luego llegan".
RM_91725ab7-3c6c-4bea-9429-1a94de524d2d = "żEllos?"
RM_1cb198fb-51d9-444c-b94a-67028db331de = "Ni hombres ni mujeres solo... calvos. De piel verde. Brazos extendidos..."
RM_ea26fd9d-2043-4733-823f-57295ac86eab = "Y me buscan. Por toda la zona. Y si me encuentran, me rodean..."
RM_4d078b8e-aee1-4f6c-b351-660367bb5aae = "Y luego me despierto".
RM_35353c26-3c17-490a-9a77-7bd156ab244a = "Está bien, Joan. Lo entiendo. Suena bastante aterrador..."
RM_f3ace109-90a9-4424-a7f4-7822389aa8f0 = "Hay otras cosas. Ahí me da hambre... pero si me como una sandía, me emborracho".
RM_e56d163d-370f-47e4-914a-1e9247a16c0b = "Hay percheros llenos de clavos, cajas llenas de escopetas y piruletas..."
RM_b49ce258-b48b-4ef9-9f6d-44456b4075be = "żCómo sabes que no estás sońando ahora?"
RM_9e4f91af-e9ea-43fb-9538-c7fccd897f15 = "No... no, eres..."
RM_935b04de-94fa-4328-a8cc-ced05b5e6950 = "<gruńidos guturales> <gritos> <jadeos>"
RM_acf1af82-baa7-4d7f-8fd1-6157e5f9b9d8 = "VHS: Operación Fort Knox"
RM_fcd33ae3-c6d5-488b-93d3-3cec65c1a58a = "Operación Fuerte Knox"
RM_33e39ae2-15da-4189-803c-e508131af67e = "El clásico thriller de espías ahora en VHS. Únase al agente John Spiral mientras intenta evitar que el desagradable Auron Spaffgold y su mudo secuaz Hanji roben todo el oro en Fort Knox reduciendo el fuerte para ˇtamańo de bolsillo! 1964. PG por violencia".
RM_6543cb68-34ec-454f-a43d-0a4e8030572d = "Escucha. Tu nuevo coche está equipado con misiles, pistolas de clavos y espejos láser".
RM_398985d0-0192-4d68-baf1-04b1dd8026d4 = "żEspejos láser? Estás bromeando".
RM_9e1e8298-c94e-43ad-8c63-be488035088e = "Nunca bromeo sobre mis aparatos, Agente Espiral".
RM_ea913831-9719-4b83-a7b2-b219dc7a2c4f = "Son los hombres de Spaffgold. Nunca me dejarán salir de aquí".
RM_2be44b14-1637-4fd2-b84b-a0f0b9949b7c = "Relájate, Polina Bigbra. Mi auto tiene algunos trucos bajo la manga".
RM_c5784382-a212-4679-a87c-fb3dfb388b10 = "*disparos de misiles, explosiones* *ruido de clavos, derrape de automóviles* *zapping de láseres*"
RM_d4083ddd-d3d4-462e-b675-020c0cf16a7a = "En veinte segundos, mi rayo reductor se disparará y te reducirá al tamańo de una abeja".
RM_a6306112-6f54-4331-b94a-b4844d067759 = "Estás olvidando una cosa, Spaffgold. Sé sobre la Operación Fort Knox".
RM_3f655824-94c6-4b0e-afa6-859b1a4a6892 = "Tres palabras que mencionó Polina. No significan nada para ti".
RM_71bb9b8d-1c38-4f97-bbca-b9c92b232f4c = "żPuede permitirse correr ese riesgo?"
RM_a1b9fe7d-2cf3-40f4-878f-c6f4c1fbbf88 = "Sus establos son Spaffgold bastante impresionantes, al igual que su bourbon".
RM_4d5fe9dd-c08b-4122-bc04-fc554406bd67 = "Pero no puedes irrumpir en Fort Knox. Hay 41 000 soldados a su alrededor".
RM_b69be82b-f9e5-4d8c-8080-8fd213901e30 = "Un punto discutible, Sr. Espiral, cuando miden una pulgada de alto".
RM_7c9d4473-c33c-4227-8655-35302252205a = "żQuiere decir que va a encoger Fort Knox? Pero un rayo encogedor de ese tamańo..."
RM_b3ff75c6-bb18-4b6e-9e51-6922baf46603 = "El dirigible de Polina ES un rayo retráctil gigante. Un plan ingenioso, si se me permite decirlo".
RM_6fe2b1e0-2081-44de-b661-ade7da7b82af = "Hanji, sé que eres el fiel sirviente de Spaffgold..."
RM_3cf7ab74-b092-400e-ae9f-8770e80a9f39 = "... pero acaba de dejarte a ti, a mí ya todos los demás aquí para ser encogidos por su rayo".
RM_f4ade700-de5b-4f18-b39b-90cb0ae35104 = "ˇA-ah!"
RM_912e5428-ea76-44e5-975d-b497b6868add = "*puńetazos* <dolor> *láser zaps*"
RM_5f6223af-dcf8-4c0f-aa9f-c5a9150b28eb = "Lo siento, Hanji, fuiste un poco lento..."
RM_f4a52d0b-a933-4ea9-aaae-b83f4955e936 = "VHS: Golpe agonizante"
RM_05eb513a-91e1-4422-b223-6b64743f533c = "Golpe mortal"
RM_7ef8a217-03b5-45ca-9d02-d2abac6d9753 = "Un nuevo actor, el mismo agente brillante. Únete al agente John Spiral en su decimoséptima misión mientras se enfrenta al único enemigo que lo conoce mejor: ˇsu propio hermano gemelo perdido hace mucho tiempo! 1993. Clasificación PG -13 por violencia".
RM_c78aeb2c-10d3-41a0-9370-57f4c3c0d02e = "*suena la alarma* *fuego de ametralladora, explosiones*"
RM_e76d8d39-24e2-4932-9396-b1dadecdadbf = "Sal con las manos en alto, John. Sé que eres tú".
RM_1efcc4e1-e862-433e-a52c-8d122d5a32ab = "No... no, no puede ser..."
RM_f8ea3592-3541-478f-a804-618a292e2489 = "żNo reconoces la voz de tu propio hermano gemelo perdido hace mucho tiempo?"
RM_623994c9-9d35-46b8-8b39-3b2545342cc4 = "Ahora escucha atentamente, Espiral. Un zapato que explota. Ata los cordones así y tíralo".
RM_b32ff765-d596-4c0e-90e3-366544bda5ea = "żNo es una patada en la cabeza..."
